m,music\\tarako.wav,;,コメント書いてみても
mn,たらこ・たらこ・たらこ,;
t,312,;,読み込まれない
os,100,;
00,30,;
o,;
o,;
o,;
03,33,;
o,;
o,;
o,;
10,20,;
o,;
o,;
o,;
13,23,;
o,;
o,;
o,;
01,;,,たったら1
o,;
o,;
o,;
30,;
o,;
32,;
o,;
02,;
o,;
o,;
o,;
31,;
o,;
33,;
o,;
11,;
21,;
12,;
22,;
o,;
o,;
o,;
o,;
00,;
o,;
o,;
10,;
20,;
o,;
o,;
o,;
01,;,,たったら2
o,;
o,;
o,;
30,;
o,;
32,;
o,;
02,;
o,;
o,;
o,;
31,;
o,;
33,;
o,;
11,;
21,;
12,;
22,;
o,;
o,;
o,;
o,;
00,;
o,;
o,;
10,;
20,;
o,;
o,;
o,;
01,;
o,;
o,;
o,;
31,;
o,;
o,;
o,;
13,;
o,;
12,;
o,;
11,;
o,;
10,;
o,;
03,;
o,;
o,;
o,;
33,;
o,;
o,;
o,;
23,;
o,;
22,;
o,;
21,;
o,;
20,;
o,;
02,32,;
o,;
o,;
01,31,;
00,30,;
o,;
o,;
o,;
21,;
o,;
20,;
o,;
11,;
o,;
10,;
o,;
23,;
o,;
22,;
o,;
21,;
o,;
o,;
o,;
30,;,,だーしーてー
o,;
31,;
o,;
32,;
o,;
o,;
o,;
03,;
o,;
13,;
o,;
o,;
o,;
33,;
o,;
02,;
o,;
12,;
o,;
o,;
o,;
32,;
o,;
01,;
o,;
00,;
o,;
31,;
o,;
30,;
o,;
11,;
o,;
10,;
o,;
21,;
o,;
20,;
o,;
13,;,,すーーーーー
o,;
o,;
o,;
o,;
o,;
o,;
o,;
02,03,;
o,;
12,22,;
o,;
23,33,;
o,;
o,;
o,;
01,;
o,;
o,;
o,;
31,;
o,;
o,;
o,;
10,;
o,;
20,;
o,;
11,;
o,;
21,;
o,;
02,;
o,;
o,;
o,;
32,;
o,;
o,;
o,;
03,;
o,;
o,;
o,;
33,;
o,;
o,;
o,;
00,;,,たーらこーたーらこー
o,;
o,;
20,;
10,;
o,;
o,;
o,;
31,;
o,;
o,;
11,;
21,;
o,;
o,;
o,;
02,03,;
o,;
32,33,;
o,;
12,13,;
o,;
22,23,;
o,;
30,;
o,;
o,;
o,;
01,;
o,;
o,;
o,;
31,;
o,;
o,;
o,;
00,;
o,;
o,;
o,;
10,;
o,;
20,;
o,;
11,;
o,;
21,;
o,;
02,;
o,;
o,;
o,;
32,;
o,;
o,;
o,;
13,;
o,;
12,;
o,;
23,;
o,;
22,;
o,;
00,;,,たーらこー2
o,;
o,;
10,;
20,;
o,;
o,;
o,;
31,;
o,;
o,;
21,;
11,;
o,;
o,;
o,;
02,;
o,;
12,;
o,;
22,;
o,;
32,;
o,;
03,13,;
o,;
o,;
o,;
23,33,;
o,;
o,;
o,;
00,;
o,;
o,;
o,;
30,;
o,;
o,;
o,;
31,;
o,;
21,;
o,;
11,;
o,;
01,;
o,;
02,;
o,;
o,;
o,;
32,;
o,;
o,;
o,;
03,;
o,;
13,;
o,;
33,;
o,;
23,;
o,;
00,;,,たっぷりたっぷり
o,;
o,;
o,;
01,;
o,;
o,;
o,;
02,;
o,;
o,;
o,;
03,;
o,;
o,;
o,;
30,;
o,;
o,;
o,;
31,;
o,;
o,;
o,;
32,;
o,;
o,;
o,;
33,;
o,;
o,;
o,;
10,20,;
o,;
o,;
o,;
11,21,;
o,;
o,;
o,;
12,22,;
o,;
o,;
o,;
13,23,;
o,;
o,;
o,;
00,30,;
o,;
o,;
o,;
01,31,;
o,;
o,;
o,;
02,32,;
o,;
o,;
o,;
03,33,;
o,;
o,;
o,;
11,21,12,22,13,33,;
e,;
